id,name,code
1,Afrikaans,af
2,Albanian,sq
3,Amharic,am
4,Arabic,ar
5,Armenian,hy
6,Azeerbaijani,az
7,Basque,eu
8,Belarusian,be
9,Bengali,bn
10,Bosnian,bs
11,Bulgarian,bg
12,Catalan,ca
13,Cebuano,ceb
14,Chinese (Simplified),zh-CN
15,Chinese (Traditional),zh-TW
16,Corsican,co
17,Croatian,hr
18,Czech,cs
19,Danish,da
20,Dutch,nl
21,English,en
22,Esperanto,eo
23,Estonian,et
24,Finnish,fi
25,French,fr
26,Frisian,fy
27,Galician,gl
28,Georgian,ka
29,German,de
30,Greek,el
31,Gujarati,gu
32,Haitian Creole,ht
33,Hausa,ha
34,Hawaiian,haw
35,Hebrew,iw
36,Hindi,hi
37,Hmong,hmn
38,Hungarian,hu
39,Icelandic,is
40,Igbo,ig
41,Indonesian,id
42,Irish,ga
43,Italian,it
44,Japanese,ja
45,Javanese,jw
46,Kannada,kn
47,Kazakh,kk
48,Khmer,km
49,Korean,ko
50,Kurdish,ku
51,Kyrgyz,ky
52,Lao,lo
53,Latin,la
54,Latvian,lv
55,Lithuanian,lt
56,Luxembourgish,lb
57,Macedonian,mk
58,Malagasy,mg
59,Malay,ms
60,Malayalam,ml
61,Maltese,mt
62,Maori,mi
63,Marathi,mr
64,Mongolian,mn
65,Myanmar (Burmese),my
66,Nepali,ne
67,Norwegian,no
68,Nyanja (Chichewa),ny
69,Pashto,ps
70,Persian,fa
71,Polish,pl
72,Portuguese,pt
73,Punjabi,pa
74,Romanian,ro
75,Russian,ru
76,Samoan,sm
77,Scots Gaelic,gd
78,Serbian,sr
79,Sesotho,st
80,Shona,sn
81,Sindhi,sd
82,Sinhala (Sinhalese),si
83,Slovak,sk
84,Slovenian,sl
85,Somali,so
86,Spanish,es
87,Sundanese,su
88,Swahili,sw
89,Swedish,sv
90,Tagalog (Filipino),tl
91,Tajik,tg
92,Tamil,ta
93,Telugu,te
94,Thai,th
95,Turkish,tr
96,Ukrainian,uk
97,Urdu,ur
98,Uzbek,uz
99,Vietnamese,vi
100,Welsh,cy
101,Xhosa,xh
102,Yiddish,yi
103,Yoruba,yo
104,Zulu,zu
